               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.041716,            0.069046,           0.0077811,             0.69083,             0.41715,              0.4614,             0.23055,            0.038603,             0.06896,           0.0064386,            0.009274,            0.009274,            0.009274
                  57,            0.041737,            0.068919,           0.0077838,             0.65786,             0.43271,             0.46142,             0.23071,             0.03859,            0.068948,           0.0064342,           0.0092481,           0.0092481,           0.0092481
                  58,            0.041665,            0.069083,           0.0077958,             0.66039,              0.4318,             0.46085,             0.23067,            0.038578,            0.068936,           0.0064276,           0.0092219,           0.0092219,           0.0092219
                  59,            0.041616,            0.068774,           0.0077971,             0.68713,             0.42135,              0.4616,             0.23125,            0.038566,            0.068925,           0.0064209,           0.0091952,           0.0091952,           0.0091952
                  60,            0.041632,            0.068745,           0.0077708,             0.66616,             0.43088,              0.4616,              0.2312,            0.038554,             0.06892,           0.0064162,           0.0091681,           0.0091681,           0.0091681
                  61,            0.041715,            0.069068,           0.0077429,             0.66147,             0.43342,             0.46214,             0.23135,            0.038543,            0.068907,           0.0064093,           0.0091406,           0.0091406,           0.0091406
                  62,            0.041646,            0.069104,            0.007735,             0.65973,             0.43454,             0.46265,             0.23143,            0.038532,            0.068898,           0.0064017,           0.0091127,           0.0091127,           0.0091127
                  63,            0.041615,            0.068886,           0.0077266,             0.66214,              0.4335,             0.46281,             0.23157,            0.038522,            0.068881,            0.006397,           0.0090844,           0.0090844,           0.0090844
                  64,            0.041557,            0.068623,           0.0077169,             0.67367,              0.4278,             0.46317,              0.2316,             0.03851,            0.068873,           0.0063914,           0.0090557,           0.0090557,           0.0090557
                  65,            0.041579,             0.06887,           0.0077108,             0.67829,             0.42645,             0.46335,             0.23147,            0.038499,             0.06886,           0.0063862,           0.0090266,           0.0090266,           0.0090266
                  66,             0.04156,            0.068739,           0.0077567,             0.69276,             0.42057,             0.46389,             0.23143,            0.038489,            0.068848,           0.0063805,           0.0089972,           0.0089972,           0.0089972
                  67,            0.041507,            0.068716,            0.007734,             0.68893,             0.42395,             0.46449,             0.23189,            0.038479,             0.06884,           0.0063736,           0.0089673,           0.0089673,           0.0089673
                  68,            0.041535,            0.068919,           0.0077047,             0.68559,             0.42458,              0.4647,             0.23194,            0.038469,            0.068832,           0.0063687,           0.0089371,           0.0089371,           0.0089371
                  69,            0.041491,            0.068813,           0.0077068,             0.67031,             0.43113,             0.46507,             0.23222,            0.038458,             0.06882,           0.0063643,           0.0089065,           0.0089065,           0.0089065
                  70,            0.041488,              0.0688,           0.0077159,             0.66865,             0.43211,             0.46615,             0.23238,            0.038448,            0.068808,           0.0063594,           0.0088755,           0.0088755,           0.0088755
                  71,            0.041491,            0.068663,           0.0077125,             0.67319,             0.43021,             0.46615,             0.23254,            0.038438,             0.06879,           0.0063544,           0.0088442,           0.0088442,           0.0088442
                  72,            0.041449,            0.068658,            0.007648,             0.67329,              0.4303,             0.46629,             0.23271,            0.038427,            0.068774,           0.0063489,           0.0088124,           0.0088124,           0.0088124
                  73,            0.041464,            0.068679,           0.0076945,             0.67103,             0.43246,             0.46622,             0.23289,            0.038418,            0.068768,           0.0063429,           0.0087804,           0.0087804,           0.0087804
                  74,            0.041477,            0.068743,            0.007673,             0.67561,             0.43033,             0.46623,             0.23321,            0.038409,            0.068762,           0.0063365,           0.0087479,           0.0087479,           0.0087479
                  75,            0.041424,            0.068773,           0.0076423,             0.67408,             0.43217,             0.46673,             0.23352,            0.038398,            0.068756,           0.0063316,           0.0087151,           0.0087151,           0.0087151
                  76,            0.041391,            0.068584,           0.0076713,             0.67098,             0.43353,             0.46681,             0.23375,            0.038388,            0.068751,           0.0063252,            0.008682,            0.008682,            0.008682
                  77,            0.041379,            0.068569,           0.0076928,             0.67294,              0.4322,             0.46715,             0.23361,             0.03838,            0.068738,           0.0063204,           0.0086485,           0.0086485,           0.0086485
                  78,            0.041411,            0.068596,           0.0076735,             0.68143,             0.42887,             0.46753,              0.2337,            0.038371,            0.068737,            0.006315,           0.0086146,           0.0086146,           0.0086146
                  79,            0.041398,            0.068695,           0.0076299,             0.67558,              0.4304,             0.46782,             0.23389,            0.038363,            0.068731,           0.0063109,           0.0085805,           0.0085805,           0.0085805
                  80,            0.041344,             0.06869,           0.0076352,             0.67885,             0.42996,             0.46832,             0.23386,            0.038355,            0.068726,           0.0063087,           0.0085459,           0.0085459,           0.0085459
                  81,            0.041344,            0.068412,           0.0076426,             0.68187,             0.42998,             0.46738,             0.23346,            0.038366,            0.068726,           0.0063099,           0.0085111,           0.0085111,           0.0085111
                  82,            0.041337,            0.068439,            0.007643,             0.68067,              0.4309,             0.46762,             0.23331,            0.038358,            0.068718,           0.0063049,           0.0084759,           0.0084759,           0.0084759
                  83,            0.041307,            0.068592,           0.0075889,             0.67892,             0.43189,              0.4678,             0.23352,            0.038351,            0.068706,           0.0063011,           0.0084404,           0.0084404,           0.0084404
                  84,            0.041259,            0.068217,           0.0076361,             0.67413,             0.43415,             0.46804,             0.23389,            0.038344,            0.068698,           0.0062985,           0.0084046,           0.0084046,           0.0084046
