,Unnamed: 0,time,latitude,longitude,speed,original_file,image_file,obj_class_name,obj_class,x,y,w,h,confidences,date,month,day of week,box area,is_on_bus_line,should_keep
287012,406683,2021-11-19 02:27:54,37.868275,-122.26330277777778,22.5308,GRMN_Bancroft_1686.MP4,GRMN_Bancroft_1686_288.jpg,bus,1,0.1789062470197677,0.5629629492759705,0.116145834326744,0.114814817905426,0.8772342801094055,2021-11-19 02:27:54,11,4,0.013335262818698889,False,True
287134,406956,2021-11-19 02:54:47,37.86721666666666,-122.25420277777778,16.0934,GRMN_Bancroft_1687.MP4,GRMN_Bancroft_1687_4.jpg,bus,1,0.6940104365348816,0.5356481671333313,0.2223958373069763,0.3231481611728668,0.8841174244880676,2021-11-19 02:54:47,11,4,0.07186680587824944,False,True
287766,408102,2021-10-05 00:57:34,37.86793888888889,-122.26543055555555,17.7027,GRMN_Bancroft_169.MP4,GRMN_Bancroft_169_1797.jpg,bus,1,0.5249999761581421,0.5861111283302307,0.0864583328366279,0.1907407343387603,0.8890383839607239,2021-10-05 00:57:34,10,1,0.01649112589496336,False,True
287796,408139,2021-11-19 02:57:48,37.86903333333333,-122.25710277777776,19.3121,GRMN_Bancroft_1690.MP4,GRMN_Bancroft_1690_36.jpg,bus,1,0.4057291746139526,0.522685170173645,0.0604166649281978,0.0879629626870155,0.855233371257782,2021-11-19 02:57:48,11,4,0.0053144288427529815,False,True
287964,408596,2021-11-19 03:00:15,37.86835,-122.262775,22.5308,GRMN_Bancroft_1692.MP4,GRMN_Bancroft_1692_847.jpg,bus,1,0.0687500014901161,0.6060185432434082,0.1364583373069763,0.1749999970197677,0.8581624031066895,2021-11-19 03:00:15,11,4,0.023880208622043306,False,True
288132,408821,2021-11-19 03:00:21,37.86830277777778,-122.26320277777778,19.3121,GRMN_Bancroft_1692.MP4,GRMN_Bancroft_1692_1038.jpg,bus,1,0.1109374985098838,0.5773147940635681,0.1416666656732559,0.1472222208976745,0.8580140471458435,2021-11-19 03:00:21,11,4,0.020856481147585083,False,True
288235,408957,2021-11-19 03:00:49,37.86812222222223,-122.264325,24.1401,GRMN_Bancroft_1693.MP4,GRMN_Bancroft_1693_70.jpg,bus,1,0.0968749970197677,0.6083333492279053,0.1937499940395355,0.2092592567205429,0.8574036955833435,2021-11-19 03:00:49,11,4,0.040543979742322815,False,True
288262,409031,2021-11-19 03:19:52,37.867125,-122.25418888888888,17.7027,GRMN_Bancroft_1694.MP4,GRMN_Bancroft_1694_126.jpg,bus,1,0.6567708253860474,0.5263888835906982,0.1802083402872085,0.2712962925434112,0.8870611190795898,2021-11-19 03:19:52,11,4,0.04888985460532111,False,True
288250,409011,2021-11-19 03:19:51,37.86708055555555,-122.25417777777778,17.7027,GRMN_Bancroft_1694.MP4,GRMN_Bancroft_1694_102.jpg,ups_truck,5,0.6075521111488342,0.5074074268341064,0.1203124970197677,0.196296289563179,0.8540061712265015,2021-11-19 03:19:51,11,4,0.02361689675306143,False,True
288388,409521,2021-11-19 03:24:39,37.86835277777778,-122.26277777777776,24.1401,GRMN_Bancroft_1698.MP4,GRMN_Bancroft_1698_1503.jpg,bus,1,0.3872395753860473,0.5416666865348816,0.0682291686534881,0.0888888910412788,0.8596498966217041,2021-11-19 03:24:39,11,4,0.006064815138276939,False,True
