               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/car_mAP_50,  metrics/bus_mAP_50,metrics/other_truck_mAP_50,metrics/uhaul_truck_mAP_50,metrics/fedex_truck_mAP_50,metrics/ups_truck_mAP_50,metrics/amazon_truck_mAP_50,metrics/usps_truck_mAP_50
                  36,            0.023595,           0.0077205,           0.0099451,             0.45081,             0.57115,             0.45743,             0.28589,            0.015986,            0.005148,           0.0074041,           0.0031065,           0.0031065,           0.0031065,             0.50114,             0.57649,             0.24421,            0.032071,              0.2197,             0.30325,             0.17182,             0.23847
                  37,            0.023102,           0.0079866,           0.0096271,             0.44039,             0.58829,             0.46282,             0.27648,            0.016592,           0.0050833,            0.007281,           0.0031011,           0.0031011,           0.0031011,             0.49659,             0.56073,             0.25133,            0.036642,             0.17842,             0.27567,             0.15774,             0.25472
                  38,             0.02264,           0.0078753,           0.0092396,             0.43123,             0.59584,             0.45957,             0.28763,            0.016207,           0.0050607,           0.0072122,           0.0030956,           0.0030956,           0.0030956,             0.52123,              0.5502,             0.24417,            0.036823,             0.19924,             0.32322,             0.17797,             0.24822
                  39,            0.023137,           0.0076053,           0.0089566,             0.42388,             0.60676,             0.46466,             0.28138,            0.017387,            0.005047,           0.0071679,             0.00309,             0.00309,             0.00309,             0.49348,             0.55485,             0.24695,             0.04465,             0.21677,             0.28344,              0.1552,             0.25573
                  40,            0.023357,           0.0078605,            0.009079,             0.43983,             0.57041,             0.46272,             0.28787,            0.016744,           0.0050291,           0.0071473,           0.0030842,           0.0030842,           0.0030842,             0.47779,             0.57057,             0.24987,            0.044447,              0.2389,             0.31251,             0.16993,             0.23892
                  41,             0.02261,            0.007628,            0.008974,             0.44755,             0.61982,             0.46917,              0.2927,            0.016428,            0.004985,           0.0070484,           0.0030783,           0.0030783,           0.0030783,             0.50917,             0.55798,             0.24697,            0.038123,             0.22818,             0.32003,              0.1994,             0.24169
                  42,            0.022476,           0.0074126,           0.0090127,             0.44597,             0.62128,             0.47845,             0.29547,             0.01597,           0.0049652,            0.007057,           0.0030722,           0.0030722,           0.0030722,              0.5176,             0.57547,             0.27628,            0.043566,             0.23027,             0.29334,             0.17157,             0.25563
                  43,             0.02235,           0.0077152,           0.0088534,             0.44199,             0.64074,              0.4841,             0.30283,             0.01569,           0.0049535,            0.006963,            0.003066,            0.003066,            0.003066,             0.51747,             0.56416,             0.28439,            0.039074,             0.25588,             0.33515,             0.19063,             0.23591
                  44,            0.021719,           0.0075398,            0.008754,             0.44713,             0.62752,             0.48287,             0.29979,            0.016307,           0.0049325,           0.0068816,           0.0030596,           0.0030596,           0.0030596,             0.51822,             0.54318,             0.29913,            0.046617,             0.25824,               0.317,             0.17414,             0.24182
                  45,            0.021794,           0.0076233,           0.0086182,             0.43508,             0.63295,             0.48539,             0.30444,            0.015922,           0.0049526,            0.006894,           0.0030532,           0.0030532,           0.0030532,             0.51826,             0.56104,             0.27247,            0.038764,             0.28842,             0.33149,             0.18462,             0.24043
                  46,            0.021597,           0.0072241,           0.0083605,             0.44855,             0.64182,             0.48675,             0.31505,             0.01582,           0.0049278,           0.0067675,           0.0030465,           0.0030465,           0.0030465,             0.51619,             0.57856,             0.30678,            0.045525,             0.26662,             0.36574,             0.18762,             0.25338
                  47,            0.021719,           0.0073965,            0.008692,             0.45533,             0.63349,             0.49207,             0.30743,            0.016041,           0.0048894,             0.00676,           0.0030398,           0.0030398,           0.0030398,             0.51449,             0.55419,             0.29085,            0.038489,             0.26271,              0.3645,              0.1917,             0.24248
                  48,            0.022069,             0.00741,           0.0084019,             0.46561,             0.63254,             0.50197,             0.31455,            0.015691,           0.0048825,           0.0067756,           0.0030329,           0.0030329,           0.0030329,             0.51521,             0.54169,              0.3077,            0.046283,             0.27971,              0.3816,             0.19996,             0.24428
                  49,            0.022501,           0.0074524,           0.0087674,             0.46431,             0.63062,             0.49925,             0.29966,            0.016499,           0.0048739,           0.0067115,           0.0030258,           0.0030258,           0.0030258,             0.51467,             0.54545,             0.27522,            0.043131,              0.2576,              0.3102,             0.19972,             0.25132
                  50,             0.02186,           0.0073622,           0.0085228,             0.46941,             0.63239,               0.502,             0.31947,             0.01597,           0.0048627,           0.0067397,           0.0030187,           0.0030187,           0.0030187,             0.51714,             0.60971,             0.30308,            0.041099,             0.26187,             0.37249,             0.20152,             0.24883
                  51,            0.021413,            0.007354,           0.0083043,             0.47444,             0.62984,             0.50518,             0.30625,             0.01617,           0.0048194,           0.0066749,           0.0030114,           0.0030114,           0.0030114,             0.50061,             0.57662,              0.2746,            0.037782,             0.25951,             0.35494,             0.21069,             0.23527
                  52,            0.021605,           0.0075772,             0.00851,             0.46869,             0.62091,             0.50817,             0.33534,            0.015268,           0.0048394,           0.0067037,           0.0030039,           0.0030039,           0.0030039,             0.52732,             0.60613,             0.30425,            0.042629,             0.30005,             0.42667,             0.24144,             0.23426
                  53,            0.020651,           0.0070093,           0.0082663,             0.47886,             0.62842,             0.52353,             0.33488,             0.01548,           0.0048092,           0.0065675,           0.0029964,           0.0029964,           0.0029964,             0.50096,             0.56788,              0.3035,            0.043687,             0.32022,             0.45613,             0.25035,              0.2363
                  54,            0.021513,           0.0071613,           0.0078325,             0.48997,             0.59405,               0.528,             0.33623,            0.015559,           0.0048097,            0.006542,           0.0029886,           0.0029886,           0.0029886,             0.52392,             0.53832,              0.2967,             0.04702,             0.32272,             0.49098,             0.22014,             0.25003
                  55,            0.020982,           0.0075491,           0.0081114,             0.49269,             0.61519,             0.53222,             0.34368,            0.015923,            0.004778,           0.0064874,           0.0029808,           0.0029808,           0.0029808,              0.5155,             0.56862,              0.3109,            0.057053,              0.3369,             0.45162,             0.26684,             0.24199
                  56,            0.020884,           0.0073355,            0.007863,             0.49535,             0.64111,             0.53572,             0.34255,            0.015712,           0.0047657,           0.0064674,           0.0029728,           0.0029728,           0.0029728,             0.51782,             0.59222,             0.31562,            0.044906,             0.34262,             0.42316,             0.26217,             0.24188
                  57,            0.021078,           0.0075203,           0.0079868,             0.50375,             0.62923,             0.54341,             0.34463,            0.015819,           0.0047707,           0.0063802,           0.0029648,           0.0029648,           0.0029648,             0.51689,             0.59666,             0.31659,            0.040497,             0.32814,              0.4508,             0.25829,             0.24916
